Condition,Ordering,Menu Type,Menu Depth,Pointing Device,Target Item,Trial #
1,1,Marking,1,Mouse,Clothing,1
1,1,Marking,1,Mouse,Animals,2
1,1,Marking,1,Mouse,Food,3
1,1,Marking,1,Mouse,Continents,4
1,1,Marking,1,Mouse,Clothing,5
2,1,Marking,2,Mouse,Mammals,1
2,1,Marking,2,Mouse,Fruit,2
2,1,Marking,2,Mouse,Tops,3
2,1,Marking,2,Mouse,Asia,5
2,1,Marking,2,Mouse,Birds,4
3,1,Marking,3,Mouse,USA,1
3,1,Marking,3,Mouse,Tophat,2
3,1,Marking,3,Mouse,Yoghurt,4
3,1,Marking,3,Mouse,Penguin,3
3,1,Marking,3,Mouse,Singapore,5
4,1,Marking,1,Touchpad,Clothing,1
4,1,Marking,1,Touchpad,Animals,2
4,1,Marking,1,Touchpad,Continents,4
4,1,Marking,1,Touchpad,Clothing,5
4,1,Marking,1,Touchpad,Food,3
5,1,Marking,2,Touchpad,Mammals,1
5,1,Marking,2,Touchpad,Fruit,2
5,1,Marking,2,Touchpad,Asia,5
5,1,Marking,2,Touchpad,Tops,3
5,1,Marking,2,Touchpad,Birds,4
6,1,Marking,3,Touchpad,USA,1
6,1,Marking,3,Touchpad,Tophat,2
6,1,Marking,3,Touchpad,Singapore,5
6,1,Marking,3,Touchpad,Yoghurt,4
6,1,Marking,3,Touchpad,Penguin,3
7,1,Radial,1,Mouse,Clothing,1
7,1,Radial,1,Mouse,Food,3
7,1,Radial,1,Mouse,Animals,2
7,1,Radial,1,Mouse,Continents,4
7,1,Radial,1,Mouse,Clothing,5
8,1,Radial,2,Mouse,Mammals,1
8,1,Radial,2,Mouse,Tops,3
8,1,Radial,2,Mouse,Fruit,2
8,1,Radial,2,Mouse,Asia,5
8,1,Radial,2,Mouse,Birds,4
9,1,Radial,3,Mouse,USA,1
9,1,Radial,3,Mouse,Penguin,3
9,1,Radial,3,Mouse,Yoghurt,4
9,1,Radial,3,Mouse,Tophat,2
9,1,Radial,3,Mouse,Singapore,5
10,1,Radial,1,Touchpad,Clothing,1
10,1,Radial,1,Touchpad,Food,3
10,1,Radial,1,Touchpad,Continents,4
10,1,Radial,1,Touchpad,Clothing,5
10,1,Radial,1,Touchpad,Animals,2
11,1,Radial,2,Touchpad,Mammals,1
11,1,Radial,2,Touchpad,Tops,3
11,1,Radial,2,Touchpad,Asia,5
11,1,Radial,2,Touchpad,Fruit,2
11,1,Radial,2,Touchpad,Birds,4
12,1,Radial,3,Touchpad,USA,1
12,1,Radial,3,Touchpad,Penguin,3
12,1,Radial,3,Touchpad,Singapore,5
12,1,Radial,3,Touchpad,Yoghurt,4
12,1,Radial,3,Touchpad,Tophat,2
